episode,timestep,raw_reward
0,97,-1021.5916762742879
1,172,-1022.0433286981416
2,284,-1024.5566929344293
3,368,-1021.914446522137
4,494,-1022.7192217353742
5,643,-1028.5965253187387
6,726,-1020.7080186292031
7,800,-1023.228233093408
8,859,-1020.2463316456433
9,968,-1019.1842122126758
10,1046,-1023.087433183664
11,1141,-1023.4430757594376
12,1236,-1022.1569266640306
13,1300,-1021.3786861984389
14,1612,-1022.6980886169094
15,1754,-1024.4507600341324
16,1909,-1018.8311144806505
17,1997,-1024.0881785825104
18,2086,-1022.7912307327248
19,2164,-1023.4550441535549
20,2232,-1023.9203818705946
21,2323,-1023.6822910555346
22,2450,-1021.5848944849995
23,2541,-1027.0135024202723
24,2655,-1021.7432584760815
25,2746,-1022.5638309441608
26,2889,-1020.2612482822075
27,2967,-1024.1751479783175
28,3089,-1024.8865946172778
29,3281,-1032.0346971575184
30,3561,-1020.5136751884506
31,3637,-1021.4157141549456
32,3752,-1021.1514560904012
33,3859,-1025.384991969717
34,3976,-1020.9708891397697
35,4065,-1022.1027159301352
36,4191,-1025.2368540842845
37,4293,-1023.6073233053062
38,4357,-1020.9438694666618
39,4438,-1021.8746938018071
40,4553,-1019.3737510333945
41,4665,-1024.904354375595
42,4762,-1024.7886744455668
43,4986,-1023.8050268391719
44,5120,-1029.39734803602
45,5218,-1024.9950537953598
46,5566,-1024.3924031868198
47,5860,-1022.9349769682857
48,5955,-1021.466847994538
49,6109,-1021.3968043776134
50,6184,-1019.7976276611331
51,6325,-1025.218266444081
52,6398,-1023.8074685257973
53,6578,-1021.2066520584367
54,6831,-1025.083881311252
55,6946,-1022.1388451913698
56,7057,-1025.172886889856
57,7242,-1019.4294979255166
58,7385,-1023.7116524920556
59,7573,-1024.454891619146
60,7856,-1028.0615850400657
61,7984,-1021.107930512939
62,8087,-1023.1122942765712
63,8201,-1018.9504183895814
64,8363,-1023.4413069585772
65,8495,-1024.026741828288
66,8579,-1025.4408361557366
67,8769,-1025.994724289271
68,8854,-1024.6130327006313
69,8997,-1019.3252625801409
70,9109,-1027.9651896200753
71,9275,-1027.360325736513
72,9381,-1027.671313577735
73,9512,-1024.3559212049984
74,9604,-1024.0060688324781
75,9748,-1019.7906169644388
76,9861,-1021.7594692579653
77,9997,-1020.3713938215178
78,10102,-1021.3802926295374
79,10246,-1024.4559818545274
80,10342,-1020.4935655241363
81,10452,-1022.2388592009004
82,10599,-1022.9763205381668
83,10721,-1026.744574847767
84,10849,-1026.069549115487
85,10983,-1018.7423208345004
86,11071,-1022.3281462713652
87,11201,-1020.3342884888608
88,11274,-1020.4694451674288
89,11333,-1019.9607650067069
90,11462,-1024.9679627022535
91,11553,-1022.4416482086663
92,11722,-1022.9577029194088
93,11789,-1020.6390463274555
94,11866,-1019.2814497188259
95,12075,-1020.9735251616722
96,12169,-1025.3370469370384
97,12453,-1026.7825477043411
98,12524,-1021.3973000214315
99,12627,-1020.9690275184474
100,12705,-1021.2610246221432
101,12866,-1025.1402784553948
102,12945,-1022.6238130981393
103,13022,-1025.5696365781118
104,13178,-1020.9236991317229
105,13305,-1026.95880153957
106,13397,-1022.8091015426194
107,13500,-1021.2734341659971
108,13634,-1022.6169281186981
109,13705,-1021.4304228478799
110,13822,-1023.7436041862757
111,13952,-1027.8180777771147
112,14047,-1023.6886414866954
113,14228,-1025.0118764402393
114,14310,-1022.1874170881687
115,14435,-1020.7546543207058
116,14521,-1024.983556499836
117,14623,-1023.2634859864081
118,14689,-1021.136050364924
119,14792,-1023.743095770872
